ID,Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country,AC
7921,https://www.zillow.com/homedetails/10610-S-48th-St-UNIT-2008-Phoenix-AZ-85044/8258647_zpid/,,225000,6/12/2023,675,sqft,333.33,626,sqft,1,1,10610 S 48th St UNIT 2008,Phoenix,85044,AZ,USA,1
7922,https://www.zillow.com/homedetails/10610-S-48th-St-UNIT-2099-Phoenix-AZ-85044/8258738_zpid/,,225000,3/9/2023,675,sqft,333.33,662,sqft,1,1,10610 S 48th St UNIT 2099,Phoenix,85044,AZ,USA,1
7923,https://www.zillow.com/homedetails/1880-E-Morten-Ave-UNIT-239-Phoenix-AZ-85020/61120866_zpid/,,225000,4/10/2023,704,sqft,319.6,679,sqft,1,1,1880 E Morten Ave UNIT 239,Phoenix,85020,AZ,USA,1
7924,https://www.zillow.com/homedetails/1880-E-Morten-Ave-UNIT-139-Phoenix-AZ-85020/62729003_zpid/,,225000,6/1/2023,704,sqft,319.6,679,sqft,1,1,1880 E Morten Ave UNIT 139,Phoenix,85020,AZ,USA,1
7925,https://www.zillow.com/homedetails/750-E-Northern-Ave-UNIT-2055-Phoenix-AZ-85020/65438375_zpid/,,225000,10/5/2021,746,sqft,301.61,1248,sqft,1,1,750 E Northern Ave UNIT 2055,Phoenix,85020,AZ,USA,1
7926,https://www.zillow.com/homedetails/16602-N-25th-St-APT-201-Phoenix-AZ-85032/65439018_zpid/,,225000,,1136,sqft,198.06,1165,sqft,3,2,16602 N 25th St APT 201,Phoenix,85032,AZ,USA,1
7927,https://www.zillow.com/homedetails/1720-E-Thunderbird-Rd-UNIT-1121-Phoenix-AZ-85022/67762637_zpid/,,225000,11/12/2021,827,sqft,272.07,773,sqft,1,1,1720 E Thunderbird Rd UNIT 1121,Phoenix,85022,AZ,USA,1
7928,https://www.zillow.com/homedetails/1720-E-Thunderbird-Rd-UNIT-2075-Phoenix-AZ-85022/67802076_zpid/,,225000,8/16/2022,581,sqft,387.26,572,sqft,1,1,1720 E Thunderbird Rd UNIT 2075,Phoenix,85022,AZ,USA,1
7929,https://www.zillow.com/homedetails/1720-E-Thunderbird-Rd-UNIT-2096-Phoenix-AZ-85022/67802086_zpid/,,225000,3/20/2023,810,sqft,277.78,794,sqft,2,2,1720 E Thunderbird Rd UNIT 2096,Phoenix,85022,AZ,USA,1
7930,https://www.zillow.com/homedetails/1720-E-Thunderbird-Rd-UNIT-2034-Phoenix-AZ-85022/67804816_zpid/,,225000,6/8/2021,900,sqft,250,900,sqft,2,2,1720 E Thunderbird Rd UNIT 2034,Phoenix,85022,AZ,USA,1
7931,https://www.zillow.com/homedetails/5401-E-Van-Buren-St-UNIT-1070-Phoenix-AZ-85008/68533586_zpid/,,225000,8/7/2023,684,sqft,328.95,739,sqft,1,1,5401 E Van Buren St UNIT 1070,Phoenix,85008,AZ,USA,1
7932,https://www.zillow.com/homedetails/5345-E-Van-Buren-St-UNIT-141-Phoenix-AZ-85008/68533913_zpid/,,225000,8/2/2022,916,sqft,245.63,916,sqft,2,1,5345 E Van Buren St UNIT 141,Phoenix,85008,AZ,USA,1
7933,https://www.zillow.com/homedetails/740-W-Elm-St-UNIT-263-Phoenix-AZ-85013/68535286_zpid/,,225000,10/31/2022,929,sqft,242.2,892,sqft,2,2,740 W Elm St UNIT 263,Phoenix,85013,AZ,USA,1
7934,https://www.zillow.com/homedetails/3420-W-Danbury-Dr-APT-C127-Phoenix-AZ-85053/68536695_zpid/,,225000,6/2/2022,896,sqft,251.12,914,sqft,2,2,3420 W Danbury Dr APT C127,Phoenix,85053,AZ,USA,1
7935,https://www.zillow.com/homedetails/14203-N-19th-Ave-UNIT-1038-Phoenix-AZ-85023/68536879_zpid/,,225000,1/27/2023,927,sqft,242.72,854,sqft,2,2,14203 N 19th Ave UNIT 1038,Phoenix,85023,AZ,USA,1
7936,https://www.zillow.com/homedetails/18416-N-Cave-Creek-Rd-APT-3040-Phoenix-AZ-85032/68537175_zpid/,,225000,1/24/2024,748,sqft,300.8,993,sqft,1,1,18416 N Cave Creek Rd APT 3040,Phoenix,85032,AZ,USA,1
7937,https://www.zillow.com/homedetails/3845-E-Greenway-Rd-UNIT-111-Phoenix-AZ-85032/68537321_zpid/,,225000,3/8/2024,691,sqft,325.62,728,sqft,1,1,3845 E Greenway Rd UNIT 111,Phoenix,85032,AZ,USA,1
7938,https://www.zillow.com/homedetails/16013-S-Desert-Foothills-Pkwy-APT-2123-Phoenix-AZ-85048/68538680_zpid/,,225000,7/30/2021,698,sqft,322.35,674,sqft,1,1,16013 S Desert Foothills Pkwy APT 2123,Phoenix,85048,AZ,USA,1
7939,https://www.zillow.com/homedetails/16013-S-Desert-Foothills-Pkwy-APT-2163-Phoenix-AZ-85048/68538720_zpid/,,225000,9/3/2021,750,sqft,300,754,sqft,1,1,16013 S Desert Foothills Pkwy APT 2163,Phoenix,85048,AZ,USA,1
7940,https://www.zillow.com/homedetails/3830-E-Lakewood-Pkwy-E-APT-3015-Phoenix-AZ-85048/68540756_zpid/,,225000,9/10/2021,693,sqft,324.68,764,sqft,1,1,3830 E Lakewood Pkwy E APT 3015,Phoenix,85048,AZ,USA,1
7941,https://www.zillow.com/homedetails/3848-N-3rd-Ave-UNIT-3033-Phoenix-AZ-85013/68957220_zpid/,,225000,8/4/2023,754,sqft,298.41,1061,sqft,1,1,3848 N 3rd Ave UNIT 3033,Phoenix,85013,AZ,USA,1
7942,https://www.zillow.com/homedetails/920-E-Devonshire-Ave-UNIT-3016-Phoenix-AZ-85014/71597725_zpid/,,225000,9/15/2021,1024,sqft,219.73,101,sqft,2,2,920 E Devonshire Ave UNIT 3016,Phoenix,85014,AZ,USA,1
7943,https://www.zillow.com/homedetails/17017-N-12th-St-UNIT-1112-Phoenix-AZ-85022/71630669_zpid/,,225000,9/13/2021,997,sqft,225.68,1124,sqft,2,2,17017 N 12th St UNIT 1112,Phoenix,85022,AZ,USA,1
