"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1400000US04013103606","Census Tract 1036.06; Maricopa County; Arizona","89611","10236",
"1400000US04013103607","Census Tract 1036.07; Maricopa County; Arizona","96452","18119",
"1400000US04013103608","Census Tract 1036.08; Maricopa County; Arizona","78125","18101",
"1400000US04013103609","Census Tract 1036.09; Maricopa County; Arizona","46932","7199",
"1400000US04013103611","Census Tract 1036.11; Maricopa County; Arizona","116087","13543",
"1400000US04013103612","Census Tract 1036.12; Maricopa County; Arizona","61052","13290",
"1400000US04013103614","Census Tract 1036.14; Maricopa County; Arizona","95216","29354",
"1400000US04013103615","Census Tract 1036.15; Maricopa County; Arizona","43013","8809",
"1400000US04013103701","Census Tract 1037.01; Maricopa County; Arizona","50887","14406",
"1400000US04013103702","Census Tract 1037.02; Maricopa County; Arizona","84410","12722",
"1400000US04013103900","Census Tract 1039; Maricopa County; Arizona","61278","12420",
"1400000US04013104000","Census Tract 1040; Maricopa County; Arizona","43782","16243",
"1400000US04013104100","Census Tract 1041; Maricopa County; Arizona","66063","15984",
"1400000US04013104202","Census Tract 1042.02; Maricopa County; Arizona","91280","17383",
"1400000US04013104203","Census Tract 1042.03; Maricopa County; Arizona","87266","15780",
"1400000US04013104204","Census Tract 1042.04; Maricopa County; Arizona","74410","18577",
"1400000US04013104205","Census Tract 1042.05; Maricopa County; Arizona","45096","18691",
"1400000US04013104206","Census Tract 1042.06; Maricopa County; Arizona","72299","7788",
"1400000US04013104207","Census Tract 1042.07; Maricopa County; Arizona","75545","17219",
"1400000US04013104212","Census Tract 1042.12; Maricopa County; Arizona","73221","16187",
"1400000US04013104214","Census Tract 1042.14; Maricopa County; Arizona","67092","7421",
"1400000US04013104215","Census Tract 1042.15; Maricopa County; Arizona","76202","12229",
"1400000US04013104216","Census Tract 1042.16; Maricopa County; Arizona","76146","12575",
"1400000US04013104217","Census Tract 1042.17; Maricopa County; Arizona","58963","13560",
"1400000US04013104218","Census Tract 1042.18; Maricopa County; Arizona","77552","15924",
"1400000US04013104219","Census Tract 1042.19; Maricopa County; Arizona","67264","18544",
"1400000US04013104221","Census Tract 1042.21; Maricopa County; Arizona","87903","9121",
"1400000US04013104222","Census Tract 1042.22; Maricopa County; Arizona","84341","17967",
"1400000US04013104223","Census Tract 1042.23; Maricopa County; Arizona","155461","20817",
"1400000US04013104224","Census Tract 1042.24; Maricopa County; Arizona","74712","15229",
"1400000US04013104225","Census Tract 1042.25; Maricopa County; Arizona","92632","19058",
"1400000US04013104226","Census Tract 1042.26; Maricopa County; Arizona","61614","18977",
"1400000US04013104227","Census Tract 1042.27; Maricopa County; Arizona","61304","30899",
"1400000US04013104301","Census Tract 1043.01; Maricopa County; Arizona","62235","18221",
"1400000US04013104302","Census Tract 1043.02; Maricopa County; Arizona","39844","13233",
"1400000US04013104401","Census Tract 1044.01; Maricopa County; Arizona","35938","7424",
"1400000US04013104402","Census Tract 1044.02; Maricopa County; Arizona","57972","15589",
"1400000US04013104501","Census Tract 1045.01; Maricopa County; Arizona","42325","4700",
"1400000US04013104502","Census Tract 1045.02; Maricopa County; Arizona","55000","20051",
"1400000US04013104600","Census Tract 1046; Maricopa County; Arizona","53264","12544",
"1400000US04013104701","Census Tract 1047.01; Maricopa County; Arizona","65783","14655",
"1400000US04013104702","Census Tract 1047.02; Maricopa County; Arizona","40431","6664",
"1400000US04013104801","Census Tract 1048.01; Maricopa County; Arizona","126094","31209",
"1400000US04013104802","Census Tract 1048.02; Maricopa County; Arizona","69200","14806",
"1400000US04013104900","Census Tract 1049; Maricopa County; Arizona","100688","18620",
"1400000US04013105002","Census Tract 1050.02; Maricopa County; Arizona","202697","85914",
"1400000US04013105003","Census Tract 1050.03; Maricopa County; Arizona","250,000+","***",
"1400000US04013105004","Census Tract 1050.04; Maricopa County; Arizona","221310","77491",
"1400000US04013105101","Census Tract 1051.01; Maricopa County; Arizona","174844","23259",
"1400000US04013105102","Census Tract 1051.02; Maricopa County; Arizona","103979","8523",
"1400000US04013105103","Census Tract 1051.03; Maricopa County; Arizona","222000","57442",
"1400000US04013105200","Census Tract 1052; Maricopa County; Arizona","77754","15312",
