,ID,Property price (USD),Sold date (MM/DD/YYYY),Address,Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,AC,FormattedAddress,Longitude,Latitude
8980,8981,279990,4/22/2021,"4211 S 67th Ave, Phoenix, AZ, 85043",1809.0,sqft,154.78,5193.0,sqft,,2.67,4211 S 67th Ave,Phoenix,85043,1,"4211 S 67TH AVE, PHOENIX, AZ, 85043",-112.20402838987007,33.40968684368471
8981,8982,280000,7/16/2021,"4102 N 106th Ave, Phoenix, AZ, 85037",1415.0,sqft,197.88,6603.0,sqft,2.0,2.0,4102 N 106th Ave,Phoenix,85037,1,"4102 N 106TH AVE, PHOENIX, AZ, 85037",-112.28862988266673,33.49486035226272
8982,8983,280000,9/30/2021,"4417 N 106th Ave, Phoenix, AZ, 85037",1291.0,sqft,216.89,5258.0,sqft,2.0,2.0,4417 N 106th Ave,Phoenix,85037,1,"4417 N 106TH AVE, PHOENIX, AZ, 85037",-112.28834880936762,33.50006793569298
8983,8984,280000,3/23/2021,"4732 N 105th Dr, Phoenix, AZ, 85037",1384.0,sqft,202.31,7122.0,sqft,3.0,2.0,4732 N 105th Dr,Phoenix,85037,1,"4732 N 105TH DR, PHOENIX, AZ, 85037",-112.28681331947246,33.50588927615826
8984,8985,280000,10/31/2023,"8801 W Heatherbrae Dr, Phoenix, AZ, 85037",1272.0,sqft,220.13,7044.0,sqft,,2.0,8801 W Heatherbrae Dr,Phoenix,85037,1,"8801 W HEATHERBRAE DR, PHOENIX, AZ, 85037",-112.24992681671256,33.49728526670225
8985,8986,280000,5/18/2021,"6729 W Catalina Dr, Phoenix, AZ, 85033",1064.0,sqft,263.16,,,3.0,2.0,6729 W Catalina Dr,Phoenix,85033,1,"6729 W CATALINA DR, PHOENIX, AZ, 85033",-112.20471491298008,33.48284597375624
8986,8987,280000,4/20/2021,"3629 N 87th Ave, Phoenix, AZ, 85037",1404.0,sqft,199.43,6943.0,sqft,4.0,2.0,3629 N 87th Ave,Phoenix,85037,1,"3629 N 87TH AVE, PHOENIX, AZ, 85037",-112.24638893643316,33.49049423019471
8987,8988,280000,9/7/2022,"8732 W Whitton Ave, Phoenix, AZ, 85037",1486.0,sqft,188.43,7109.0,sqft,3.0,2.0,8732 W Whitton Ave,Phoenix,85037,1,"8732 W WHITTON AVE, PHOENIX, AZ, 85037",-112.24813174231917,33.488531765795926
8988,8989,280000,5/13/2021,"8841 W Fairmount Ave, Phoenix, AZ, 85037",1468.0,sqft,190.74,3999.0,sqft,3.0,2.0,8841 W Fairmount Ave,Phoenix,85037,1,"8841 W FAIRMOUNT AVE, PHOENIX, AZ, 85037",-112.25050620147613,33.491619590588584
8989,8990,280000,2/28/2022,"8812 W Amelia Ave, Phoenix, AZ, 85037",1256.0,sqft,222.93,4012.0,sqft,3.0,2.0,8812 W Amelia Ave,Phoenix,85037,1,"8812 W AMELIA AVE, PHOENIX, AZ, 85037",-112.24817213868675,33.493055455265846
8990,8991,280000,1/14/2022,"8846 W Fairmount Ave, Phoenix, AZ, 85037",1364.0,sqft,205.28,5502.0,sqft,,2.0,8846 W Fairmount Ave,Phoenix,85037,1,"8846 W FAIRMOUNT AVE, PHOENIX, AZ, 85037",-112.25057121463061,33.49173418197347
8991,8992,280000,7/22/2022,"8727 W Wilshire Dr, Phoenix, AZ, 85037",1578.0,sqft,177.44,7057.0,sqft,3.0,3.0,8727 W Wilshire Dr,Phoenix,85037,1,"8727 W WILSHIRE DR, PHOENIX, AZ, 85037",-112.24776180287085,33.47567436979722
8992,8993,280000,6/7/2021,"9013 W Vernon Ave, Phoenix, AZ, 85037",1245.0,sqft,224.9,6007.0,sqft,3.0,2.0,9013 W Vernon Ave,Phoenix,85037,1,"9013 W VERNON AVE, PHOENIX, AZ, 85037",-112.25392434374987,33.473068317367165
8993,8994,280000,3/10/2022,"7621 W Indianola Ave, Phoenix, AZ, 85033",1410.0,sqft,198.58,7275.0,sqft,3.0,2.0,7621 W Indianola Ave,Phoenix,85033,1,"7621 W INDIANOLA AVE, PHOENIX, AZ, 85033",-112.22384586682267,33.49247696492188
8994,8995,280000,6/24/2021,"8013 W Pinchot Ave, Phoenix, AZ, 85033",992.0,sqft,282.26,6821.0,sqft,2.0,1.0,8013 W Pinchot Ave,Phoenix,85033,1,"8013 W PINCHOT AVE, PHOENIX, AZ, 85033",-112.22990555002724,33.48266836364684
8995,8996,280000,9/14/2021,"8614 W Heatherbrae Dr, Phoenix, AZ, 85037",1649.0,sqft,169.8,7973.0,sqft,,2.0,8614 W Heatherbrae Dr,Phoenix,85037,1,"8614 W HEATHERBRAE DR, PHOENIX, AZ, 85037",-112.24477350703637,33.497332155857066
8996,8997,280000,5/19/2023,"8651 W Glenrosa Ave, Phoenix, AZ, 85037",1456.0,sqft,192.31,7499.0,sqft,4.0,2.0,8651 W Glenrosa Ave,Phoenix,85037,1,"8651 W GLENROSA AVE, PHOENIX, AZ, 85037",-112.24528446152652,33.497937589457706
8997,8998,280000,7/13/2021,"4422 N 85th Ave, Phoenix, AZ, 85037",1016.0,sqft,275.59,3991.0,sqft,3.0,2.0,4422 N 85th Ave,Phoenix,85037,1,"4422 N 85TH AVE, PHOENIX, AZ, 85037",-112.24242027902983,33.50053302207675
8998,8999,280000,2/15/2024,"8031 W Monterosa St, Phoenix, AZ, 85033",1920.0,sqft,145.83,7710.0,sqft,,2.0,8031 W Monterosa St,Phoenix,85033,1,"8031 W MONTEROSA ST, PHOENIX, AZ, 85033",-112.23250765338997,33.49485210282404
