Unique ID,Property URL,Property type,Rental price (USD per month),Living area,Living area unit,Price per living area unit (USD),Bedrooms,Bathrooms,Street address,City,Zip,State,Country,AC,Address,Match,Exact,Formatted Address,Coordinates,N,LR
662,https://www.zillow.com/homedetails/821-N-4th-Ave-APT-8-Phoenix-AZ-85003/2125192734_zpid/,Apartment,1395.0,545.0,sqft,2.56,1.0,1.0,821 N 4th Ave,Phoenix,85003,AZ,USA,1.0,"821 N 4th Ave, Phoenix, AZ, 85003",Match,Exact,"821 N 4TH AVE, PHOENIX, AZ, 85003","-112.07885903230135,33.457147449441266",128211912.0,R
663,https://www.zillow.com/homedetails/2644-E-Paradise-Ln-APT-C-Phoenix-AZ-85032/346585422_zpid/,Apartment,1395.0,598.0,sqft,2.33,1.0,1.0,2644 E Paradise Ln APT C,Phoenix,85032,AZ,USA,1.0,"2644 E Paradise Ln APT C, Phoenix, AZ, 85032",Match,Non_Exact,"2644 E PARADISE LN, PHOENIX, AZ, 85032","-112.02546391772626,33.633262551938344",641727574.0,L
664,https://www.zillow.com/b/2625-2629-turney-ii-apartments-phoenix-az-BMJ9Qv/,Building,,,,,,,2625 E  Turney Ave,Phoenix,85016,AZ,USA,0.0,"2625 E  Turney Ave, Phoenix, AZ, 85016",Match,Exact,"2625 E TURNEY AVE, PHOENIX, AZ, 85016","-112.0253189096212,33.50033244216587",128219283.0,R
665,https://www.zillow.com/homedetails/8122-N-33rd-Ave-UNIT-2-Phoenix-AZ-85051/2120589183_zpid/,Apartment,1395.0,,,,2.0,1.0,8122 N 33rd Ave,Phoenix,85051,AZ,USA,0.0,"8122 N 33rd Ave, Phoenix, AZ, 85051",Match,Exact,"8122 N 33RD AVE, PHOENIX, AZ, 85051","-112.12988410468961,33.555270246136956",128394444.0,L
666,https://www.zillow.com/b/paradise-valley-phoenix-az-9TWGNZ/,Apartment,1395.0,800.0,sqft,1.74,2.0,2.0,16816 N 29th St,Phoenix,85032,AZ,USA,0.0,"16816 N 29th St, Phoenix, AZ, 85032",Match,Exact,"16816 N 29TH ST, PHOENIX, AZ, 85032","-112.02006253030885,33.63950264423545",128184758.0,L
667,"https://www.zillow.com/b/building/33.49914,-112.081825_ll/",Building,,,,,,,4333 N  6th Dr,Phoenix,85013,AZ,USA,0.0,"4333 N  6th Dr, Phoenix, AZ, 85013",Match,Exact,"4333 N 6TH DR, PHOENIX, AZ, 85013","-112.08240997618384,33.49884924390335",244030747.0,R
668,https://www.zillow.com/apartments/phoenix-az/urban-falls/5Xqszg/,Building,,,,,,,2940 N  40th St,Phoenix,85018,AZ,USA,1.0,"2940 N  40th St, Phoenix, AZ, 85018",Match,Exact,"2940 N 40TH ST, PHOENIX, AZ, 85018","-111.99557880809084,33.48088042903885",128223578.0,L
669,https://www.zillow.com/homedetails/6817-N-17th-Ave-105-Phoenix-AZ-85015/2054696515_zpid/,Apartment,1395.0,750.0,sqft,1.86,2.0,1.0,6817 N 17th Ave,Phoenix,85015,AZ,USA,0.0,"6817 N 17th Ave, Phoenix, AZ, 85015",Match,Exact,"6817 N 17TH AVE, PHOENIX, AZ, 85015","-112.09460430707242,33.53723774161432",128203930.0,R
670,https://www.zillow.com/apartments/phoenix-az/seventeen805/5XhyVt/,Building,,,,,,,17805 N  40th St,Phoenix,85032,AZ,USA,1.0,"17805 N  40th St, Phoenix, AZ, 85032",Match,Exact,"17805 N 40TH ST, PHOENIX, AZ, 85032","-111.99614473528476,33.64823392844414",128318495.0,R
671,https://www.zillow.com/b/7553-n-21st-ave-phoenix-az-5XzjZc/,Apartment,1395.0,800.0,sqft,1.74,2.0,1.0,7553 N 21st Ave,Phoenix,85021,AZ,USA,1.0,"7553 N 21st Ave, Phoenix, AZ, 85021",Match,Exact,"7553 N 21ST AVE, PHOENIX, AZ, 85021","-112.10389134578827,33.54757110415096",128203170.0,R
672,"https://www.zillow.com/b/1722-e-ocotillo-road,-building-a-%28units-5-8%29%2821296770%29-phoenix-az-9TV5j9/",Apartment,1395.0,700.0,sqft,1.99,2.0,1.0,1722 E Ocotillo Rd,Phoenix,85016,AZ,USA,1.0,"1722 E Ocotillo Rd, Phoenix, AZ, 85016",Match,Exact,"1722 E OCOTILLO RD, PHOENIX, AZ, 85016","-112.04457293856103,33.534691165325455",128928442.0,L
673,https://www.zillow.com/b/a194-phoenix-az-5Z6Wms/,Apartment,1395.0,1000.0,sqft,1.4,2.0,2.0,820 E Maryland Ave,Phoenix,85014,AZ,USA,0.0,"820 E Maryland Ave, Phoenix, AZ, 85014",Match,Exact,"820 E MARYLAND AVE, PHOENIX, AZ, 85014","-112.06234024354484,33.53103716675611",128958881.0,L
674,https://www.zillow.com/b/a598-phoenix-az-5csjp9/,Apartment,1395.0,800.0,sqft,1.74,2.0,2.0,2921 N 38th St,Phoenix,85018,AZ,USA,0.0,"2921 N 38th St, Phoenix, AZ, 85018",Match,Exact,"2921 N 38TH ST, PHOENIX, AZ, 85018","-111.99979029964794,33.48086242071531",128223566.0,R
675,https://www.zillow.com/homedetails/2542-N-46th-St-APT-2-Phoenix-AZ-85008/346958809_zpid/,Apartment,1395.0,970.0,sqft,1.44,2.0,2.0,2542 N 46th St,Phoenix,85008,AZ,USA,1.0,"2542 N 46th St, Phoenix, AZ, 85008",Match,Exact,"2542 N 46TH ST, PHOENIX, AZ, 85008","-111.9826797134437,33.47581784898307",128223796.0,L
676,https://www.zillow.com/b/orangewood-phoenix-az-5ftJD6/,Apartment,1395.0,1020.0,sqft,1.37,2.0,1.5,2404 W Orangewood Ave,Phoenix,85021,AZ,USA,0.0,"2404 W Orangewood Ave, Phoenix, AZ, 85021",Match,Exact,"2404 W ORANGEWOOD AVE, PHOENIX, AZ, 85021","-112.11027174573212,33.54591416724952",128840309.0,R
